Date,Open,High,Low,Close,Volume
2022-08-24,22.04,22.04,21.48,21.66,114437
2022-08-23,21.8,22.08,21.72,22.04,96704
2022-08-22,22.64,22.64,21.7,21.72,181826
2022-08-19,22.7,22.84,22.42,22.78,190364
2022-08-18,21.86,22.68,21.86,22.6,207159
2022-08-17,22.1,22.2,21.64,22.0,647834
2022-08-16,21.54,22.3,21.46,22.0,534312
2022-08-12,21.56,21.9,21.52,21.6,100739
2022-08-11,21.5,21.6,21.16,21.56,156882
2022-08-10,21.8,21.8,21.38,21.5,76148
2022-08-09,21.4,22.1,21.32,21.76,146783
2022-08-08,21.52,21.8,21.2,21.5,126813
2022-08-05,21.86,22.26,21.58,21.62,117669
2022-08-04,21.88,21.98,21.64,21.88,119469
2022-08-03,21.52,21.94,21.34,21.8,220685
2022-08-02,21.36,21.98,21.36,21.68,172314
2022-08-01,21.22,21.7,21.14,21.46,178306
2022-07-29,21.6,21.8,21.02,21.36,385173
2022-07-28,21.52,22.14,21.1,21.86,383850
2022-07-27,23.32,23.5,21.4,21.6,1055411
2022-07-26,22.34,22.86,22.16,22.78,171586
2022-07-25,22.66,23.24,22.04,22.1,289758
2022-07-22,22.24,22.6,21.82,22.56,140110
2022-07-21,21.4,22.08,21.22,22.06,190747
2022-07-20,21.78,21.92,21.16,21.4,231456
2022-07-19,21.76,22.02,21.36,21.76,127958
2022-07-18,21.5,21.7,21.18,21.7,151658
2022-07-15,21.96,22.14,21.28,21.64,124405
2022-07-14,21.8,21.96,21.54,21.88,72378
2022-07-13,21.98,22.2,21.4,21.74,158671
2022-07-12,21.88,22.5,21.6,22.08,204079
2022-07-11,21.78,22.0,21.46,21.9,124449
2022-07-08,21.68,21.8,21.38,21.76,124568
2022-07-07,21.2,21.62,21.02,21.58,123905
2022-07-06,21.28,21.32,20.82,21.0,119013
2022-07-05,21.5,21.8,20.66,21.06,243198
2022-07-04,21.0,21.58,20.86,21.44,307403
2022-07-01,20.76,21.0,20.3,20.9,185108
2022-06-30,20.68,21.1,20.44,20.64,119972
2022-06-29,19.99,20.72,19.91,20.7,210872
2022-06-28,20.08,20.42,19.8,19.97,146835
2022-06-27,20.06,20.64,20.0,20.06,88824
2022-06-24,20.3,20.3,19.96,20.0,54194
2022-06-23,20.3,20.46,19.9,20.34,113445
2022-06-22,20.78,20.78,20.08,20.32,99609
